,Type,Type_M,Instance,Time,Event_tag,Participant,Age,Gender,Musicianship,Fan_status,Seat_Zone,KM,AWE,Moved,Clap Count,ICI Median,Average Rate,ICI STD,ICI quartiles,Relative first clap,Relative last clap,Initial 8s ICI Median,Initial 8s ICI quartiles,Music_Exp
244,Music,Music,4,1610.6,Beethoven,ADQ014,,Woman,Amateur musician,7.0,1.0,3.4,4.83333333333333,4.0,100,0.3399999999999963,176.47058823529431,0.04355711448457319,0.049999999999998934,1.6800000000000002,-5.439999999999998,0.26,0.0600000000000005,2
245,Music,Music,4,1610.6,Beethoven,ADQ015,81.0,Woman,Music-loving nonmusician,7.0,1.0,3.7,4.66666666666667,4.0,97,0.3249999999999993,168.87816646562135,0.11178034138656442,0.02749999999999897,7.42,0.0,0.2799999999999998,0.07999999999999963,1
246,Music,Music,4,1610.6,Beethoven,ADQ016,62.0,Woman,Music-loving nonmusician,7.0,4.0,0.9,2.0,3.0,92,0.3200000000000003,169.40099198779103,0.10488097306786513,0.05999999999999872,1.8599999999999999,-0.14000000000000057,0.29000000000000004,0.025000000000000244,1
247,Music,Music,4,1610.6,Beethoven,ADQ018,47.0,Woman,Semiprofessional musician,,2.0,3.3,2.33333333333333,3.0,79,0.27999999999999936,217.0900692840646,0.029519745191171787,0.02000000000000135,0.020000000000000018,-3.6199999999999974,0.2599999999999998,0.025000000000000355,4
248,Music,Music,4,1610.6,Beethoven,ADQ019,72.0,Man,Serious amateur musician,7.0,3.0,4.3,3.33333333333333,6.0,119,0.3100000000000023,189.39984411535454,0.03247411124626146,0.030000000000002025,1.56,-0.7000000000000028,0.2999999999999998,0.11000000000000032,3
249,Music,Music,4,1610.6,Beethoven,ADQ020,36.0,Man,Music-loving nonmusician,7.0,3.0,1.4,1.5,4.0,63,0.3250000000000002,160.51364365971097,0.18139921022261313,0.05749999999999961,0.7000000000000001,-10.879999999999999,0.2999999999999998,0.039999999999999925,1
250,Music,Music,4,1610.6,Beethoven,ADQ021,,Man,Music-loving nonmusician,1.0,4.0,3.5,6.16666666666667,4.0,97,0.23000000000000131,233.18938926588464,0.058947936274209266,0.0800000000000014,0.020000000000000018,-2.4399999999999977,0.20000000000000018,0.12999999999999978,1
251,Music,Music,4,1610.6,Beethoven,ADQ022,71.0,Man,Serious amateur musician,7.0,1.0,3.5,4.33333333333333,4.0,101,0.3200000000000003,191.60583941605827,0.018999836547188283,0.019999999999999574,2.3800000000000003,-0.10000000000000142,0.28000000000000025,0.030000000000000027,3
252,Music,Music,4,1610.6,Beethoven,ADQ023,21.0,Man,Professional musician,7.0,6.0,2.7,3.66666666666667,4.0,128,0.3000000000000007,197.9123173277661,0.01864267944573911,0.02000000000000135,0.48000000000000004,-3.1600000000000037,0.2799999999999998,0.020000000000000462,5
253,Music,Music,4,1610.6,Beethoven,ADQ024,35.0,Woman,Music-loving nonmusician,1.0,6.0,2.6,4.33333333333333,3.0,103,0.3200000000000003,188.24569155987632,0.016382009074834676,0.034999999999999254,0.9400000000000001,-7.340000000000003,0.2999999999999998,0.02000000000000035,1
